Hash,Date,Author,Files Changed,Message
9c3476758b0d708fd2648d1783bc0f603b2d8305,Wed Nov 12 00:48:19 2025 +0300,Leonid Burygin,2,Update documentation of Horizontal Menu controls (#4197)
b4b5a5dbe62aedd0aa9abd3ded1c115af9e9e529,Mon Nov 3 15:21:04 2025 +0300,Leonid Burygin,2,Horizontal Menus/ Made pan half-cylinder 1px taller (#4191)
ce66b99ca0555ded3b9b3637c08c3ae7ee80ab1c,Mon Oct 27 01:23:41 2025 +0300,Leonid Burygin,4,Horizontal Menus/ More subtle sidechain ducking graphics (#4179)
59cad4eed7c7fe9d6f308506cc6c0d4d87db1916,Sun Oct 19 16:11:45 2025 -0400,Mark Adams,4,Clean up logs (#4155)
9d47f9cf36e155f95b25a722c313752606c1d062,Wed Oct 15 19:24:54 2025 -0400,Mark Adams,2,actually release fast for fast release (#4146)
878360a84f741fba64e612696de46fb5e47dea2b,Mon Oct 13 11:35:19 2025 -0500,Metamere,2,kit sound display name fixes (#4142)
e878f0cba3577ff0bd5f64acabc162700e53558d,Sat Oct 11 19:07:54 2025 +0300,Leonid Burygin,4,Horizontal Menus/ Do not show max value in the bar (#4134)
64691ac2462b138e0cb3d3bc0690d65f3c44cb20,Sat Oct 11 10:45:04 2025 -0400,Sean Ditny,2,Note row editor: Remove shift note editing requirement (#4128)
ddb9e054cb21f5cf4e95450fdae16206330a9512,Sat Oct 4 17:26:12 2025 +0300,Panu Matilainen,2,Fix looping sample playback regression (#3768) (#4109)
b33be56aeab91250a852789936fbd7020f097ca2,Mon Sep 29 16:04:59 2025 -0400,Mark Adams,3,"Revert ""Storage function to std::span (#3441)"" (#4099)"
9588165d9539c977d213a6c84053ee88b827332b,Sun Sep 28 00:59:11 2025 +0300,Leonid Burygin,3,Icons for osc tracking menu (#4096)
3ab54abcf38b1311c753f485650b7817999e9f6c,Sat Sep 27 14:41:32 2025 -0400,Sean Ditny,3,Add MIDI Devices page to Resources Section (#4093)
d9229864fd28adbb45e7ab72b347156e97c81665,Tue Sep 2 20:47:25 2025 -0500,Metamere,2,Manage display notification updates for parameter value changes from gold knob encoders (#4064)
63761cb6b6719c6b16ec7bf1ef6b5001daa61eb7,Thu Aug 28 08:50:16 2025 -0400,Sean Ditny,3,Bugfix velocity view note iterance editing (#4062)
610c4eb86a18e6f64484c73a8f92b0737ec72369,Fri Aug 15 15:10:57 2025 +0300,Leonid Burygin,2,Docs/ update documentation for horizontal menu and patch cable polarity controls (#4035)
ff71e85fed2236f79c611ae38271cc7a5bd697b1,Thu Aug 14 19:11:29 2025 +0300,Leonid Burygin,5,Horizontal menus/ Fix crash on switching to next menu if the menu has no relevant items (#4031)
fe1efef403307215ec2a4e9eb3233204c26dab17,Wed Aug 13 02:51:41 2025 -0400,Sean Ditny,2,Replace OLED mod encoder popups /w notifications (#4027)
677456bb4e5ab84da4e59d9b21cb3350c02b5fe7,Tue Aug 12 15:01:25 2025 +0300,Leonid Burygin,5,Horizontal Menus/ Fix audio clip sidechain values (#4023)
5f3f299dc01adcada731295087d913b1c14d9f16,Sun Aug 10 15:30:40 2025 +0300,Nikodemus Siivola,2,fix assigning a drum to a no-sound kit row (#4001)
08dd2521ebce2858cbecfba6338667a948bcbc6e,Sun Aug 10 03:14:50 2025 +0300,Leonid Burygin,3,Docs/ Update Horizontal menu changelog and menu hierarchies (#4012)
5fceaa6705dfc8075e9f5b1c6e9fcd05eb9f2d60,Sat Aug 9 16:24:09 2025 -0500,Metamere,2,"Refactor browser navigation, implement fast scrolling (#3994)"
8aba2163b6d5dbe4f199f3ea2d0c64dd249a9e9a,Tue Aug 5 16:40:44 2025 +0300,Leonid Burygin,4,Fix for gold knob popups that are immediately disappear while in horizontal menu (#3995)
c475a0097f4a047c67a45b5089613a2bdb871ce4,Mon Aug 4 13:13:35 2025 -0400,Sean Ditny,4,Refactor out velocity view code (#3992)
0ce5a25707ed8374069d769fd66e0a7d009185c1,Fri Jul 25 09:47:18 2025 -0400,Sean Ditny,2,Fix auditioning popups in velocity view (#3975)
ebd2257aa3a3c151d18d7428117c383320cba94c,Wed Jul 23 19:00:14 2025 +0300,Leonid Burygin,2,Bugfix/ Properly update selected item's LEDs in Horizontal Menu (#3970)
b15b6b0277b9c20cdced3ace2e6914fa97eeb52d,Mon Jul 21 10:25:03 2025 -0400,Katherine Whitlock,3,Convert applyAmplitude to Argon (#3439)
9552672be9a40e272b3a6845141f4783a48458f2,Sun Jul 13 23:43:54 2025 -0400,Mark Adams,5,Bugfix/volume part two electric bugaloo (#3951)
49bcca6f995f7862a4d497b8f277cc9fdba13667,Thu Jul 10 16:27:51 2025 -0400,Sean Ditny,2,Website/ Documentation improvements (#3940)
6a238575ce989139a6a570f90e432c3255e6f461,Thu Jul 10 00:53:54 2025 +0300,Leonid Burygin,4,Bugfix/ Select encoder acceleration issues (#3936)
9bc7174897942b1157a4790454aee26cdf66a52a,Wed Jul 9 12:38:21 2025 -0400,Sean Ditny,2,Delete stale velocity view pad selection mode code (#3929)
a24582e518edc6c0d41ceb5d0e270dd600e15b44,Wed Jul 9 01:47:54 2025 -0400,Sean Ditny,2,Clean up kit render output (#3931)
7c3cdcbd311e0432e71145b1045b1d7b189e1dea,Tue Jul 8 02:21:23 2025 -0400,Sean Ditny,5,Update community features and changelog (#3924)
601278366e2aad909a5bc5aa21f97f428b64ea61,Mon Jul 7 13:32:26 2025 -0400,Sean Ditny,2,More website updates (#3922)
f12e3e1e4d4051edcb3ee7e18a43684c8da64f81,Mon Jul 7 03:43:59 2025 +0300,Leonid Burygin,5,Refactor/ Reduce memory allocation for the Combined horizontal menus (#3918)
41870ec8a29a5c99167821e919c17e338f3d0de7,Sun Jul 6 22:15:04 2025 +0300,Leonid Burygin,5,Bugfix/ Fixed unstable menu item selection in the Combined horizontal menus (#3916)
1b861093b3f1f7915acbe555ec83c3a5811b4dd8,Mon Jun 30 13:14:27 2025 -0400,Sean Ditny,2,Website/ Add 1_2 preset competition page (#3712)
b579c5e3118e29a30f932e120e5708c961668f8e,Wed Jun 25 13:21:56 2025 -0500,Jordan,5,Updating changelogs as sharps/flats will go to 1.3 (#3875)
4dfcb6eb81963de0e73d830801972a4dde104081,Mon Jun 23 00:35:49 2025 +0300,Leonid Burygin,2,Horizontal menus: accessibility option support (#3868)
447d875378864271ffc76005d8715b19f1b11dcb,Sat Jun 21 15:58:19 2025 -0400,Mark Adams,2,only add spacing if not the last character (#3859)
893bf4b8d8e21fba73593935e655e86a7c3fecfc,Thu Jun 19 17:52:02 2025 -0400,Mark Adams,2,Use range based for loop to avoid bug when rendering odd number of samples (#3850)
2bb8b6528445b8dfd5787f15ae5ae8f48bdef44b,Mon Jun 9 14:40:07 2025 +0300,Leonid Burygin,2,Docs/ mention of the new probability shortcuts (#3829)
0b58d23f4dea04ba4e2d9e13089b99c5f7ab48aa,Sat Jun 7 06:33:14 2025 +0300,Leonid Burygin,2,Add shortcut for the note probability (#3806)
13af5bfca3892353dc8ea3e291360275f6f4ad61,Wed Jun 4 14:12:24 2025 -0700,Casey Tucker,3,MidiProgramMenu::isRelevant() // avoids showing in CV menu (#3813)
dec14c0b11774705af88f818f5e16e8aa0ebbb2f,Tue Jun 3 20:21:56 2025 +0300,Michael Katz,2,* Implement file operations: add copy and move functionality which will be used to move files around without passing through the host machine (#3775)
c629fb87ddbe666cf9b77da7dcde06d47747a890,Mon Jun 2 10:08:11 2025 -0700,Casey Tucker,5,move StringBuf impl to resolve -Wstringop-overflow (#3803)
08e49582f63bde687c5ce2a20fca19f051144531,Thu May 29 14:52:12 2025 +0300,Nikodemus Siivola,5,various compiler warnings (#3785)
75dd888ee6f1eb5e05d4d26b719e7cc5c820b887,Thu May 29 10:07:39 2025 +0300,Leonid Burygin,2,Docs/ New & layered shortcuts (#3781)
4fba3ab44fed7b6e7220faf61b6a087783d1bf5d,Thu May 29 03:42:54 2025 +0300,Leonid Burygin,3,Bugfix/ Add missing threshold & stutter rate shortcuts for global menus (#3780)
2417e41e1950b9e1f310f02c5221f702b6b93a2a,Wed May 28 12:22:35 2025 +0200,mgabor,3,fix(ci): Add mdx files to PR auto-formatter (#3779)
478ad90d1f2a8d3b84fd7995ebe9525436e00e3e,Mon May 26 16:06:09 2025 +0300,Leonid Burygin,4,Bugfix/ Fixed crash when using any of mod-fx shortcuts the first time right after booting up (#3773)
217c032b2350618322aac4924ccd2930f1882429,Sun May 25 16:02:59 2025 +0300,Leonid Burygin,2,Bugfix/ Fixed compressor shortcut position in the kit automation view (#3770)
567f3123f9294fa0012cd0549caa6bdcbbdbe33d,Sat May 24 14:43:50 2025 +0200,Raúl Muñoz,2,Fixed Rhythm menu items so they span always to two columns so they look good even for Kit Midi and Gate rows (#3758)
c8a0c8f7454e8c741fc3f86e8cf48381d93d8a94,Thu May 22 02:47:47 2025 -0700,Casey Tucker,3,Font 5px: all latters 3px in width (#3745)
5938b27507891f3572f4c7dbfeea42f957b3b5b8,Tue May 20 13:07:26 2025 -0700,Casey Tucker,4,add 5px font (#3743)
fa928171fe81715323e100fcf12ddaf7c6da8652,Mon May 19 22:23:05 2025 +0300,Leonid Burygin,3,Docs/ Update the horizontal menus documentation (#3739)
df2ae9c896feed1c373f43541e8f23f06adb2611,Mon May 19 10:16:48 2025 -0700,Casey Tucker,2,preset: displayed value matches transmitted value (#3737)
f11ece024492004273f3738abd36c5b3770acb1c,Mon May 19 19:11:02 2025 +0300,Leonid Burygin,3,Horizontal Menus/ Add the unison submenu to the voice horizontal menu (#3733)
5d5286f11392046226fa6c740969f1ac3b062d4f,Sun May 18 23:10:35 2025 +0300,Leonid Burygin,2,Cleanup/ Remove redundant duplicate of mod-fx horizontal menu (#3727)
1427cf98783f5a80f8cca2cbfb4377bddb4994b5,Sun May 18 00:21:47 2025 +0300,Leonid Burygin,2,"Feature/ UX improvements for horizontal menu, part 2 (#3716)"
1a764bccab351b34b74f680cd96ab4608fb4f498,Sat May 17 22:46:16 2025 +0300,Leonid Burygin,5,Feature/ Bitmaps for LFO icons in horizontal menu (#3711)
bf96942b80a5d90dc4d3f19189b5b224447da61e,Tue May 13 06:25:08 2025 -0400,Sean Ditny,2,Update website for 1.2.1 release (#3692)
bc7321d78008f0d516a157ee8f8bfa15cdda3b4d,Sun May 11 14:02:59 2025 -0400,Sean Ditny,5,Fix some routineWithClusterLoadingClicks (#3680)
49b6bccb0207a5289b05ed23a2e8d84c5c9c4e27,Fri May 2 13:52:20 2025 -0500,Grant Shangreaux,2,Fix: links to development docs no longer in repo (#3663)
bead9848c1c8d276fd85692f9f3103b25753e171,Fri Apr 25 14:48:05 2025 -0400,Sean Ditny,5,Refactor InstrumentClipView scrollVertical (#3619)
