Hash,Date,Author,Files Changed,Message
b4b5a5dbe62aedd0aa9abd3ded1c115af9e9e529,Mon Nov 3 15:21:04 2025 +0300,Leonid Burygin,2,Horizontal Menus/ Made pan half-cylinder 1px taller (#4191)
ce66b99ca0555ded3b9b3637c08c3ae7ee80ab1c,Mon Oct 27 01:23:41 2025 +0300,Leonid Burygin,4,Horizontal Menus/ More subtle sidechain ducking graphics (#4179)
9d47f9cf36e155f95b25a722c313752606c1d062,Wed Oct 15 19:24:54 2025 -0400,Mark Adams,2,actually release fast for fast release (#4146)
e878f0cba3577ff0bd5f64acabc162700e53558d,Sat Oct 11 19:07:54 2025 +0300,Leonid Burygin,4,Horizontal Menus/ Do not show max value in the bar (#4134)
64691ac2462b138e0cb3d3bc0690d65f3c44cb20,Sat Oct 11 10:45:04 2025 -0400,Sean Ditny,2,Note row editor: Remove shift note editing requirement (#4128)
9588165d9539c977d213a6c84053ee88b827332b,Sun Sep 28 00:59:11 2025 +0300,Leonid Burygin,3,Icons for osc tracking menu (#4096)
d9229864fd28adbb45e7ab72b347156e97c81665,Tue Sep 2 20:47:25 2025 -0500,Metamere,2,Manage display notification updates for parameter value changes from gold knob encoders (#4064)
fe1efef403307215ec2a4e9eb3233204c26dab17,Wed Aug 13 02:51:41 2025 -0400,Sean Ditny,2,Replace OLED mod encoder popups /w notifications (#4027)
b15b6b0277b9c20cdced3ace2e6914fa97eeb52d,Mon Jul 21 10:25:03 2025 -0400,Katherine Whitlock,3,Convert applyAmplitude to Argon (#3439)
4dfcb6eb81963de0e73d830801972a4dde104081,Mon Jun 23 00:35:49 2025 +0300,Leonid Burygin,2,Horizontal menus: accessibility option support (#3868)
0b58d23f4dea04ba4e2d9e13089b99c5f7ab48aa,Sat Jun 7 06:33:14 2025 +0300,Leonid Burygin,2,Add shortcut for the note probability (#3806)
13af5bfca3892353dc8ea3e291360275f6f4ad61,Wed Jun 4 14:12:24 2025 -0700,Casey Tucker,3,MidiProgramMenu::isRelevant() // avoids showing in CV menu (#3813)
dec14c0b11774705af88f818f5e16e8aa0ebbb2f,Tue Jun 3 20:21:56 2025 +0300,Michael Katz,2,* Implement file operations: add copy and move functionality which will be used to move files around without passing through the host machine (#3775)
08e49582f63bde687c5ce2a20fca19f051144531,Thu May 29 14:52:12 2025 +0300,Nikodemus Siivola,5,various compiler warnings (#3785)
c8a0c8f7454e8c741fc3f86e8cf48381d93d8a94,Thu May 22 02:47:47 2025 -0700,Casey Tucker,3,Font 5px: all latters 3px in width (#3745)
5938b27507891f3572f4c7dbfeea42f957b3b5b8,Tue May 20 13:07:26 2025 -0700,Casey Tucker,4,add 5px font (#3743)
df2ae9c896feed1c373f43541e8f23f06adb2611,Mon May 19 10:16:48 2025 -0700,Casey Tucker,2,preset: displayed value matches transmitted value (#3737)
f11ece024492004273f3738abd36c5b3770acb1c,Mon May 19 19:11:02 2025 +0300,Leonid Burygin,3,Horizontal Menus/ Add the unison submenu to the voice horizontal menu (#3733)
1427cf98783f5a80f8cca2cbfb4377bddb4994b5,Sun May 18 00:21:47 2025 +0300,Leonid Burygin,2,"Feature/ UX improvements for horizontal menu, part 2 (#3716)"
1a764bccab351b34b74f680cd96ab4608fb4f498,Sat May 17 22:46:16 2025 +0300,Leonid Burygin,5,Feature/ Bitmaps for LFO icons in horizontal menu (#3711)
7638ca230d94bfa5a125ba75bfa0535a5eadc0d2,Sun Apr 20 17:12:59 2025 -0400,Sean Ditny,5,De-duplicate some transpose logic (#3590)
40f8af13b35914126bd3d0ddcd54d35cf8a2445e,Sun Apr 20 17:10:32 2025 -0400,Sean Ditny,3,"Feature/ Added Tempo, Root Note and Scale to Audio Export file names (#3620)"
f57c08cb6dccd30be4c670fab08750baf52db492,Sun Apr 20 16:00:54 2025 -0400,Katherine Whitlock,5,Add Pd folder and initial object (#3596)
6a8f6ff3a2d1f28b3cba629daa9ad5ca3b3506b9,Fri Apr 11 18:57:18 2025 -0400,Sean Ditny,5,Update shortcuts for randomizing drum samples (#3546)
7026b6aa28f0eca23807bc93b1b166c826fed30f,Thu Apr 10 17:38:17 2025 -0400,Mark Adams,4,initialize everything (#3582)
a805ec3c61917bbd7fae1bc3a50b00d888e85e80,Sun Apr 6 08:22:08 2025 -0400,Mark Adams,2,always give arp note a channel if midi or cv (#3559)
c2b2add0b03927141a4c8829503a3775d4997726,Sun Mar 23 18:50:47 2025 -0500,Metamere,4,Replace loading and saving popups with procedural animations (#3304)
792b6dbef9e9610dceafcdaf886a07caab752ed5,Sun Mar 23 18:24:52 2025 -0400,Sean Ditny,5,Updated horizontal menu controls (#3506)
e949f84952e83e5d727664f149e274e232d46548,Fri Mar 21 14:20:15 2025 -0400,Sean Ditny,2,Enable audio output scorlling in arranger view (#3496)
ba3252117a0495e49d0243dc6391f6377eea87cb,Tue Mar 18 22:19:07 2025 +0100,s.e.s,2,update midi2deluge python scripts (#3487)
ca2ec2232c167ecf7cf7901dac50ba0eb43ee3d9,Sat Mar 15 16:54:38 2025 -0400,Katherine Whitlock,2,Move Song default initializers to the member declaration (#3458)
7bff00e7e4e723c3c1db17074b19ed834de56395,Sat Mar 15 16:52:56 2025 -0400,Katherine Whitlock,2,Combine dbt.cmd and dbtenv.cmd (#3469)
00076cdba498c502a63dbdae74e2df5979179301,Sat Mar 15 16:52:19 2025 -0400,Katherine Whitlock,3,Storage function to std::span (#3441)
1090b1c8e780c448f8ae7bbe340d13366eb4874e,Tue Mar 11 07:37:07 2025 -0400,Katherine Whitlock,3,Use pragmas for unrolling renderCrudeSawwave (#3435)
333f93c28a478a28796c4a6e25bc8136e20d654f,Mon Mar 10 18:35:55 2025 -0400,Sean Ditny,2,Add kit arp shortcuts to kit fx menu (#3466)
c74b16e5ed420cc77cfa7f206a221a5f850cd605,Mon Mar 10 17:25:12 2025 -0400,Sean Ditny,4,Set stutter default to quantized (#3464)
6652322ebbb646e57938a1b184b85e9fe126f009,Mon Mar 10 11:28:59 2025 -0400,Katherine Whitlock,2,Move arranger default construction values to the member variable declarations (#3462)
